,All,EarlyType,LateType
0,544,1893.0,544.0
1,953,2164.0,953.0
2,1285,3043.0,1285.0
3,1662,3229.0,1662.0
4,1893,3403.0,2383.0
5,2164,3605.0,2641.0
6,2383,3760.0,2879.0
7,2641,3870.0,3971.0
8,2879,4083.0,4206.0
9,3043,4495.0,4297.0
10,3229,4597.0,4408.0
11,3403,4769.0,4678.0
12,3605,4858.0,4976.0
13,3760,4923.0,5139.0
14,3870,5066.0,5852.0
15,3971,5236.0,6752.0
16,4083,5315.0,7269.0
17,4206,5383.0,
18,4297,5542.0,
19,4408,5623.0,
20,4495,5693.0,
21,4597,5776.0,
22,4678,5911.0,
23,4769,5982.0,
24,4858,6055.0,
25,4923,6119.0,
26,4976,6186.0,
27,5066,6244.0,
28,5139,6280.0,
29,5236,6348.0,
30,5315,6429.0,
31,5383,6559.0,
32,5542,6593.0,
33,5623,6636.0,
34,5693,6676.0,
35,5776,6811.0,
36,5852,6855.0,
37,5911,6902.0,
38,5982,6949.0,
39,6055,7068.0,
40,6119,7127.0,
41,6186,7309.0,
42,6244,7345.0,
43,6280,7481.0,
44,6348,7527.0,
45,6429,7611.0,
46,6559,7652.0,
47,6593,7713.0,
48,6636,7799.0,
49,6676,7845.0,
50,6752,7956.0,
51,6811,7992.0,
52,6855,8037.0,
53,6902,8094.0,
54,6949,8126.0,
55,7068,8208.0,
56,7127,8327.0,
57,7269,8388.0,
58,7309,8416.0,
59,7345,8439.0,
60,7481,8456.0,
61,7527,8482.0,
62,7611,8540.0,
63,7652,8647.0,
64,7713,8670.0,
65,7799,8714.0,
66,7845,8740.0,
67,7956,8785.0,
68,7992,8812.0,
69,8037,8832.0,
70,8094,8857.0,
71,8126,8990.0,
72,8208,9112.0,
73,8327,9138.0,
74,8388,9175.0,
75,8416,9293.0,
76,8439,9316.0,
77,8456,9423.0,
78,8482,9641.0,
79,8540,9655.0,
80,8647,9671.0,
81,8670,9719.0,
82,8714,10020.0,
83,8740,10096.0,
84,8785,10397.0,
85,8812,11525.0,
86,8832,12672.0,
87,8857,,
88,8990,,
89,9112,,
90,9138,,
91,9175,,
92,9293,,
93,9316,,
94,9423,,
95,9641,,
96,9655,,
97,9671,,
98,9719,,
99,10020,,
100,10096,,
101,10397,,
102,11525,,
103,12672,,
